Sample,Time,f_evals_max,minimization_gtol,minimization_threshold,n_dims,n_trials,seed,target_name,use_constraints
1000,2023-11-04-15:57:31,10000000,1e-10,1e-12,40,100000,585997,SICPOVM,True
1001,2023-11-04-16:01:33,10000000,1e-10,1e-12,40,100000,585997,SICPOVM,True
1002,2023-11-04-17:31:40,10000000,1e-10,1e-12,38,100000,585997,SICPOVM,True
1003,2023-11-04-17:32:13,10000000,1e-10,1e-12,40,100000,585997,SICPOVM,True
1004,2023-11-04-17:36:12,10000000,1e-10,1e-12,42,100000,585997,SICPOVM,True
1005,2023-11-04-17:36:13,10000000,1e-10,1e-12,44,100000,585997,SICPOVM,True
1006,2023-11-04-17:38:05,10000000,1e-10,1e-12,46,100000,585997,SICPOVM,True
1007,2023-11-04-17:39:23,10000000,1e-10,1e-12,48,100000,585997,SICPOVM,True
1008,2023-11-04-17:42:05,10000000,1e-10,1e-12,50,100000,585997,SICPOVM,True
1009,2023-11-04-17:53:30,10000000,1e-10,1e-12,52,100000,585997,SICPOVM,True
1010,2023-11-04-17:57:59,10000000,1e-10,1e-12,54,100000,585997,SICPOVM,True
1011,2023-11-04-18:04:51,10000000,1e-10,1e-12,56,100000,585997,SICPOVM,True
1012,2023-11-04-19:10:47,50000000,1e-10,1e-12,58,100000,585997,SICPOVM,True
1013,2023-11-04-19:21:18,50000000,1e-10,1e-12,60,100000,585997,SICPOVM,True
1014,2023-11-04-19:32:01,50000000,1e-10,1e-12,62,100000,585997,SICPOVM,True
1015,2023-11-04-19:44:21,50000000,1e-10,1e-12,64,100000,585997,SICPOVM,True
1016,2023-11-04-21:48:47,50000000,1e-10,1e-12,66,100000,585997,SICPOVM,True
1017,2023-11-04-22:14:18,50000000,1e-10,1e-12,68,100000,585997,SICPOVM,True
1018,2023-11-05-14:07:51,50000000,1e-10,1e-12,36,100000,585997,SICPOVM,True
1019,2023-11-05-14:09:14,50000000,1e-10,1e-12,36,100000,585997,SICPOVM,True
1020,2023-11-05-15:56:26,50000000,1e-10,1e-12,28,100000,585997,SICPOVM,True
1021,2023-11-05-15:57:51,50000000,1e-10,1e-12,28,100000,585997,SICPOVM,True
1022,2023-11-05-16:33:39,50000000,1e-10,1e-12,68,100000,585997,SICPOVM,True
1023,2023-11-05-19:40:30,50000000,1e-10,1e-12,70,100000,585997,SICPOVM,True
1024,2023-11-05-23:00:18,50000000,1e-10,1e-12,72,100000,585997,SICPOVM,True
1025,2023-11-05-23:54:30,50000000,1e-10,1e-12,74,100000,585997,SICPOVM,True
1026,2023-11-06-01:58:05,50000000,1e-10,1e-12,76,100000,585997,SICPOVM,True
1027,2023-11-06-05:45:52,50000000,1e-10,1e-12,78,100000,585997,SICPOVM,True
1028,2023-11-10-12:58:03,50000000,1e-10,1e-12,38,100000,585997,SICPOVM,True
1029,2023-11-10-14:12:48,50000000,1e-10,1e-12,38,100000,585997,SICPOVM,True
1030,2023-11-29-15:09:35,50000000,1e-10,1e-12,18,100000,585997,SICPOVM,False
1031,2023-11-29-15:11:43,50000000,1e-11,1e-12,18,100000,585997,SICPOVM,False
1032,2023-11-29-15:12:40,50000000,1e-11,1e-12,18,100000,585997,SICPOVM,True
1033,2023-11-29-15:12:42,50000000,1e-11,1e-12,20,100000,585997,SICPOVM,True
1034,2023-11-29-15:12:43,50000000,1e-11,1e-12,22,100000,585997,SICPOVM,True
1035,2023-11-29-15:12:50,50000000,1e-11,1e-12,24,100000,585997,SICPOVM,True
1036,2023-11-29-15:12:51,50000000,1e-11,1e-12,26,100000,585997,SICPOVM,True
1037,2023-11-29-15:12:52,50000000,1e-11,1e-12,28,100000,585997,SICPOVM,True
1038,2023-11-29-15:13:10,50000000,1e-10,1e-11,18,100000,585997,SICPOVM,False
1039,2023-11-29-15:13:12,50000000,1e-10,1e-11,20,100000,585997,SICPOVM,False
1040,2023-11-29-15:13:14,50000000,1e-10,1e-11,22,100000,585997,SICPOVM,False
1041,2023-11-29-15:13:15,50000000,1e-10,1e-11,24,100000,585997,SICPOVM,False
1042,2023-11-29-15:13:16,50000000,1e-10,1e-11,26,100000,585997,SICPOVM,False
1043,2023-11-29-15:13:20,50000000,1e-10,1e-11,28,100000,585997,SICPOVM,False
1044,2023-11-29-18:57:12,50000000,1e-10,1e-11,18,100000,585997,SICPOVM,False
1045,2023-11-29-18:57:14,50000000,1e-10,1e-11,20,100000,585997,SICPOVM,False
1046,2023-11-29-18:57:16,50000000,1e-10,1e-11,22,100000,585997,SICPOVM,False
1047,2023-11-29-18:57:17,50000000,1e-10,1e-11,24,100000,585997,SICPOVM,False
1048,2023-11-29-18:57:17,50000000,1e-10,1e-11,26,100000,585997,SICPOVM,False
1049,2023-11-29-18:57:22,50000000,1e-10,1e-11,28,100000,585997,SICPOVM,False
1050,2023-11-29-19:10:19,50000000,1e-10,1e-11,18,100000,585997,SICPOVM,False
1051,2023-11-29-19:10:20,50000000,1e-10,1e-11,20,100000,585997,SICPOVM,False
1052,2023-11-29-19:10:22,50000000,1e-10,1e-11,22,100000,585997,SICPOVM,False
1053,2023-11-29-19:10:24,50000000,1e-10,1e-11,24,100000,585997,SICPOVM,False
1054,2023-11-29-19:10:24,50000000,1e-10,1e-11,26,100000,585997,SICPOVM,False
1055,2023-11-29-19:10:28,50000000,1e-10,1e-11,28,100000,585997,SICPOVM,False
1056,2023-11-29-19:23:15,50000000,1e-12,1e-11,38,100000,585997,SICPOVM,False
1057,2023-12-06-14:18:53,50000000,1e-10,1e-11,18,100000,585997,SICPOVM,True
1058,2023-12-06-14:19:04,50000000,1e-10,1e-11,18,100000,585997,SICPOVM,False
1059,2023-12-06-14:23:48,50000000,1e-14,1e-11,18,100000,585997,SICPOVM,False
1060,2023-12-06-14:38:09,50000000,1e-14,1e-11,18,100000,585997,SICPOVM,False
1061,2023-12-06-14:41:01,50000000,1e-14,1e-11,18,100000,585997,SICPOVM,False
1062,2023-12-06-15:36:34,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1063,2023-12-06-15:42:44,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1064,2023-12-06-15:46:05,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1065,2023-12-06-15:47:01,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1066,2023-12-06-15:47:31,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1067,2023-12-06-15:54:11,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1068,2023-12-06-19:33:07,50000000,1e-11,1e-13,18,100000,585997,SICPOVM,False
1069,2023-12-06-19:35:33,50000000,1e-11,1e-13,38,100000,585997,SICPOVM,False
1070,2023-12-13-16:20:14,50000000,1e-11,1e-13,4,100000,585997,SICPOVM,False
1071,2024-02-09-13:09:02,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1072,2024-02-09-13:12:22,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1073,2024-02-09-13:22:23,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1074,2024-02-09-14:02:02,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,True
1075,2024-02-09-14:02:53,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,True
1076,2024-02-12-15:33:35,50000000,1e-11,1e-13,6,100000,585997,SICPOVM,False
1077,2024-02-12-16:13:03,50000000,1e-11,1e-13,10,100000,585997,SICPOVM,False
1078,2024-02-12-17:36:47,50000000,1e-11,1e-13,10,100000,585997,SICPOVM,False
1079,2024-02-14-10:53:55,50000000,1e-11,1e-13,10,100000,585997,SICPOVM,False
